review_body,language,sentiment_label,product_category
"Besser nicht bestellt. Passt überhaupt nicht wie nach den vorher angegebenen Maßen. Am Bund zu eng und an den Beinen zu weit. Nie wieder werde ich was zum anziehen über Amazon bestellen, ist nur rausgeschmissenes Geld.",de,negative,apparel
日々の栄養補助として利用。 いくつも組み合わせることは面倒なのでこちらにしました。 溶けやすく飲みやすいです。 フルーツミックス味にしましたが、飲みやすい甘さがあります。私はチョコ系の方が好きです。 水で溶解していますが、液量を増減してもよく溶けるので、味を調整できると思います。 自転車トレが中心なので、あまり筋肉が付いた気はしていませんが、気分は良いです。,ja,positive,drugstore
"Los colores tal cual en la foto,queda muy bien.",es,positive,home
"Excelente combo, muy contento con la calidad y el artículo era tal y como se describía. El vendedor es 100% recomendable.",es,positive,home_improvement
看买的人多才买的····用了一次之后就没用了····,zh,negative,home
ノビが良く使いやすいです。 ツヤ 耐久性はまあまあです。,ja,positive,automotive
Funktioniert und ist formschön aber der Reisverschluss ist nicht sehr stabil. Gleich am Anfang abgefallen. Für den Preis (ca. 15€) hatte ich mehr erwartet.,de,negative,wireless
Reçu à la date prévue mais la boîte était en très mauvais état et légèrement ouverte. Impossible d'offrir ce jouet dans cet état !,fr,negative,toy
很不错的通勤包，13寸Mac Pro装着有富余。,zh,positive,sports
String winder and picks missing from packaging.,en,negative,musical_instruments
"Tolle CD, schnelle Lieferung.",de,positive,other
眼镜不错，但是但是太紧了，戴了半天耳朵上面的肉疼，怎么调节？没有看到有分大小码啊,zh,positive,office_product
Normally this is an awesome product my puppy loves and is great to use as training treats! But....this bag had a small tear in it and food is super dried out. I don’t want to bother shipping it back so I’m hoping for a credit or replacement bag?,en,negative,pet_products
仕事で長時間マスクを使うので，耳が痛くならない様に購入した。 当初，100円ショップに売られている，プラ製S字フックを使えば良いのではないかと思っていたが，この商品を見つけ「特許申請中」だとか凄そうな事が書かれていたので，S字フックよりも実用性が高い何かがあるのかと思って購入した。 しかし，実際のところ，100円ショップに売られている，プラ製S字フックの方が，実際は実用性もコストパフォーマンスも高かった。(※個人的な所感。) 100円ショップに売られている，プラ製S字フックを買ってみて満足なら，敢えて買う必要は無い製品に思える。 個人的には買わない方が良かったと思っている。(※買わない方が良かったと思った最大の理由は高かったから。),ja,negative,home
"The first one I purchased started leaking at the base within a couple of weeks, so I returned it for a replacement. the 2nd one is now leaking at the base like the first one. Don't Purchase this product!",en,negative,kitchen
"Plenty of USB ports for my Windows 7 computer. Easy to setup, no drivers needed for my Win 7 box. I do wish the USB and power connectors were on the back. They are on each side and it looks kinda ugly that way.",en,positive,pc
Leider nie erhalten.,de,negative,other
"This receiver is absolute garbage. Stopped working after only using it twice. Receiver will NOT power on and Yamaha's customer service is a joke. So is their ""two year warranty"" as well. Getting them to fix or return the receiver has been a nightmare,",en,negative,electronics
お届け完了なのに。。。ものが届かない。 どういう事？,ja,negative,wireless
此商品录像不到5分钟就发烫手不能摸，已经退货了。不愉快的购物,zh,negative,automotive
但在一开始底面的某边缘会跟鼠标垫发生极大的摩擦，而且鼠标的滚轮在拨动的时候经常发出“嗒”的一声，另外按键果然很硬的，只能用同样硬质的鼠标垫，否则每当按下按键时，屏幕上的鼠标会发生位移。此外，就像它真正擅长的：一款强大的鼠标。BTW，驱动程序基本没用，建议根本不用安装。,zh,positive,electronics
"J'ai acheté les cables pour un Iphone 5S et un 6S, ça marche pas très bien, ça coupe de temps en temps et dés fois ça marche même pas. déçu de la qualité.",fr,negative,wireless
j ai déteste de ne jamais avoir recu se produit,fr,negative,toy
"Lo he devuelto ,demasiado flojo...",es,negative,apparel
"Die Tastatur an sich mag ja ganz gut sein, aber die Makros sind schlecht. Sie nehmen nicht nur die Tastenanschläge auf sondern auch die Zeit die dazwischen vergeht. Dadurch ist das Benutzen der Makro-Tasten genauso langsam, als wenn man es selber schreiben würde.",de,negative,pc
デザインがキュート。無線マウスの最小モデルよりも、一回り小さいです。 ホワイトを買いましたが、マウスをうごかすと内部の赤い電光が、表面から透けて出てきます。 そこが、おしゃれです。 配線がコンパクトにまとまり、ごちゃごちゃ感が少ないです。 無線マウスをよく落として壊してしまう方には、おすすめだと思います。,ja,positive,pc
On ne sent pas bcp les huiles que vous mettez sur le buvard . Même si vous en mettre plus que prévu l appareil ne diffuse pas bien,fr,negative,drugstore
"This is not the same beloved brush I've been using for years. This is utter garbage. The brush is much smaller than the original and literally smells like gasoline. The hairs just keep pouring out of it. This is my second order, thinking that maybe the first order of crappy brushes was a fluke... but alas, it is the same horrible quality.",en,negative,home
那么老大 但是挺舒服的 只是没穿几次有点起球了就,zh,positive,apparel
"il existe un problème de fabrication, les extrémités métalliques ne sont pas émoussées et provoquent des blessures et des saignements de gencives (uniquement les modèles rouges les autres modèles ne posent pas de problème) .",fr,negative,drugstore
"Dumb and violent. Not sure what the appeal is with this one. Too much internal dialogue. If you like reading about abused women, I guess ...seek counseling.",en,negative,digital_ebook_purchase
"ATENCIÓN! PENOSO LO DE PIONEER! 2 minicadenas pedidas en Amazon y 1 más en MediaMarkt. Aunque no os lo creais, TODAS han venido en color marrón aún y que las he pedido en negro. Pero lo mejor es que en la caja pone negro... Bravo! Dudo que se pueda ser más desastre. Espero que Amazon tome cartas en el asunto.",es,negative,electronics
看到评价都是五星才买的，看完只想问一句，作者确定自己出版的是小说而不是小说的提纲？！,zh,negative,digital_ebook_purchase
Schön gearbeites Kreutz in ordentlicher Qualität. Als Geschenck wirklich zu empfehlen. Lieferzeit und Preis sind völlig in Ordnung,de,positive,baby_product
"La prise en main est plutôt facile. Seul défaut, il n'est pas possible de visualiser des photos/vidéo placées dans différents répertoires. Pas commode !!",fr,positive,camera
Se monta con facilidad y resulta robusta,es,positive,pet_products
Me a solucionado el problema estupendamente.gracias,es,positive,office_product
Muy cómoda. Ajustable a la altura. Bien almohadillada. Recomendable,es,positive,home
様々な表情の新川優愛を見ることができます。可愛い、カッコいい、美しいの三拍子揃った文句無しの一冊です。 普段見ることが出来ない新川優愛を見に行きませんか？,ja,positive,book
Very tight on my arms and hands! Going back!,en,negative,other
商品ok，没有问题，但是这次购物体验非常糟糕！！！如果可以打负分，我应该会打负分。4月份的时候显示预售，8月25发货，可以预订，于是早早预订，过了4个月，到了8月25，既没有发货，也没有任何反馈信息，于是我联系客服，反反复复的只有一句话，“不好意思我们没有订到货，现在没办法发货，你可以取消订单，很理解你的心情”，对于我说的，预订了这么久，为什么没有订到货，都只有反复的很抱歉理解你的心情，我不需要你理解我的心情，我需要你解决问题，我提前4个月订的货，你给我东西就行。都没有，没有任何解决方法，就只是说你可以取消订单。确实，2018年的日历，现在收到也不迟，但是这次购物的经过，售后的服务非常糟糕！！！！！！！以前买东西，如果亚马逊有的，我一般都会首选亚马逊，经过这次以后应该会选择别的电商平台了。,zh,negative,book
"Manette correct, pas de difficulté pour synchronisation mais elle est très bruyante en mode vibration, je joue sans car pas agréable.",fr,negative,electronics
ジャンプーしてるとき とても気持ちがいいです。 洗った次の日も サラサラで とてもいいです。,ja,positive,beauty
"Estaba deseando que me llegará a tiempo para las vacaciones. Es práctico porque tienes dos baterías extra, carga bastante rápido y es fácil de usar, es pequeño y viene bien para transportarlo. Muy recomendable para personas que usan mucho la cámara y tener baterías disponibles siempre. El producto ha llegado en su tiempo. Y en perfecto estado.",es,positive,electronics
"El reloj era lo esperado, la unica pega que lo pedi para regalo de navidad, me ponia de fecha de entrega el dia 22 y llegó el 27",es,negative,watch
读过作者的很多文字，印象比较深的是黑暗塔系列，很棒，本书不单纯是写作回忆录，,zh,positive,book
"Satisfecha con la compra, en principio son unas zapatillas robustas y que queda el pie sujeto. No puedo dar más opiniones puesto que las comprepara mi marido y lleva un día con una de ellas",es,positive,shoes
海外渡航用に購入しました。 最初に”Valuable Items”さんで１つ購入して、大変良さそうなので追加で ”Hands One” さんの方でもう一つ購入した所 click pack proではなく click pack STDの方が来ました。 中の収納の形状が一部違いおかしいなと思いましたが、帰国して 調べたら違うことに気づきました。 後で注文したSTDは防刃素材ではないとのことで、同じ値段だったので 非常に残念です。 表題にはちゃんとclick pack proと書いて写真も全く同じだったので 、こういったことはしっかり管理してほしいです。,ja,negative,shoes
自分的には満足です。ちょいカスタムが好きな人はぜひ。,ja,positive,automotive
"Although this pitter is only good for one cherry at a time, the size of the cherry doesn't matter. I did not use the slide but rather placed the cherry so that the plunger would most likely go through to the pit. It worked most but not all of the time.",en,positive,kitchen
ネジ山にバリがあるのか、しっかりハマらず、no atomizerが表示されて使えない。 ネジ山を少し削って無理矢理ハメたら使えたけど、コンタクトピンの出が無いので、やはり使用しない方がいいかな。 ドリップチップにハメて使うタイプが安心して使えるので、アダプターは捨てます,ja,negative,drugstore
高速走行時のチェック用に購入。 高速走行時のバースト予防にと思い使用しています。バルブに取り付けるだけなのでいちいちタイヤを外す必要はないので気軽に取り付けることができます。装着から約5ヶ月使用していますが電池切れもなく安定して動作しています。精度や誤差も値段なりだとは思いますが、外気温や走行時間、走行速度、路面状態でタイヤの空気圧が大きな変化をしているのが良く分かります。 表示部のLEDも明る過ぎずカラーも落ち着いているので違和感も有りません。 ただ、バルブに取り付けるセンサー部分はやや大きくて見映えは良くないです。 表示部の電源はシガーライターですが、ちょっと加工しスイッチをつけてフューズボックスから取っています。 機能、価格は満点ですが、見映えの点でマイナス1で星4つです。 追記(2019/6/14) 装着して1年以上が経ちましたが全く問題なく動作しています。 脱着が簡単であることもあって、5〜6回程度の脱着(タイヤ交換時やABSケーブル交換時など)をしていますが、今のところ全く問題はありません。 唯一不満と言えば、昼間、液晶画面の反射で表示が見難い瞬間や角度があると言うことぐらいです、とはいえ、常に見ている必要もないのでそのまま使用しています。 いつも、携帯電話用の反射防止フィルムを貼ろうと思っていますが、結局、実際のところは影響なくフィルムを貼るには至っていません。 要するに、「問題ない」と言う事なのでしょう。 また電池交換も未だ一度もしておりませんが、安定してセンシングされています。(通勤に毎日使用で5時間/日はONになっていますし、時々は一昼夜つけっ放しの日も週1回程度ありますので電池の消耗は予想以上に少ないですね。,ja,positive,automotive
Funktioniert perfekt,de,positive,home
"It worked for a day or so. It was hard to place these in spots where they would ""work""",en,negative,lawn_and_garden
This is awesome for making cards! Keeps area clean and doesn’t move your project!,en,positive,home
"Nicht gut und gefiel mir persönlich überhaupt nicht. Es ging es zurück, weil es überhaupt nicht der angegeben Beschreibung entspricht.",de,negative,home
"Precio y calidad, acorde",es,positive,home
"Da ich mir das neue iPad Pro mit Apple Pencil gekauft habe habe ich mich nach einer Hülle umgesehen. Da mir die Haptik des Apple Covers nicht gefiel wurde mir diese Hülle empfohlen. Die Hülle wurde schnell geliefert und kam im einwandfreien Zustand. Das iPad passt perfekt und das Kunstleder fühlt sich wertig an. Ein kleines Manko, man kann das iPad nicht gut hochkant aufstellen. Allerdings haben wir diese Funktion schon beim Vorgänger kaum benötigt.",de,positive,pc
虽然价格不高，但是我读了前3章，就不想看了。第一章全是废话，第二章每天多一小时，大家是否眼熟？对了，《超级时间整理术:每天多出一小时》的主要一部分内容，全被她借鉴了，只是人物不同，语句不同，基本雷同。第三章开始变成了中医，第四章变成了人际关系。 可以说，令我失望。给你两分吧。,zh,negative,digital_ebook_purchase
No me gustó porque me vinieron los dos para el mismo lado,es,negative,automotive
やめたほうがいい。 Apple Watch充電できません。着いたり消えたりを繰り返しているだけです。 この件に関して問い合わせても連絡一つありません。,ja,negative,wireless
手頃な値段で存分に楽しい釣行が出来るロッドです,ja,positive,sports
没交代清楚那位逃犯的去向，小女孩的命运也未知？,zh,positive,digital_ebook_purchase
utilisée pour le jardin comme fertilisant et repousse nuisibles (limaces etc...) ainsi que les chats,fr,positive,pet_products
"For one, the image used for these headphones is over-edited to make them look a lot more polished and shiny. When taking them out of its case, they were very dull in color, and felt kind of cheap. I just got them so couldn't really make a judgement call so soon. Positives: they did fit snug over my head, which is a good thing, as they didnt fall off when stretching or exercising. The sound was very crisp, and resonated well. It could get loud with an excellent bass pulse, which is something I like in headphones. Quality sound for wireless. Negatives: Didnt block out too much noise though as I could still hear people but that's not my main issue here. After only owning them for several months, the left ear piece snapped as I was attempting to adjust the length. I pulled down on it, and proof, broken, revealing the somewhat cheap plastic pieces that comprised the neck to the earpiece. Kind of disappointed in how pricey it is, versus how cheap the parts are. I like the headphones, they are decent for music, but at $70, it is $30-$40 more then it should be priced at.",en,negative,other
Perso pas de problème elle fonctionne bien,fr,positive,office_product
"This is definitely more of a duvet insert than a stand-alone comforter. It’s not something I’d want showing on my bed, it doesn’t have the border around the outside like the picture shows, and the color is totally off (I got mine in green).",en,negative,home
Cheap material and came extremely wrinkled. Unfortunately had to return .,en,negative,apparel
2 von 3 Kerzen haben leider nur 2 Tage gehalten. Die letzte Kerze ist noch voll funktionsfähig! Hoffe sie hält noch die letzten Tage durch,de,negative,home
商品が届いてびっくり購入した時の商品紹介の写真と届いた物が違う。 ケースの大きさが違う 商品紹介の写真にはプルームテックが片面に3本入るケースだったが実際にはプルームテックが6本ぐらい入る大きいケースだった。 ポケットの向き 商品紹介の写真ではポケットの向きが同じ向きだか届いた物は左右非対称の物だった。 再度購入した商品のページを見たら 商品紹介の説明文と写真が変わっていた 私が購入した時の写真は掲載されていなかった 非常に気分が悪い 明らかに騙しにあっている。,ja,negative,drugstore
收货后试了一下，很合适，很满意，如果像有的充电电池附一个充电器，就更完美了。,zh,positive,camera
買う時には確認しにくかった細かい文字のデザインが入っていた。それが確認できていたなら買わなかった。,ja,positive,wireless
"This little coffee pot works very well. Purchased for occasional use at a friend's house who doe snot drink coffee. It should be noted that the pot itself is not insulated, however the burned keeps the coffee hot which is nice.",en,positive,kitchen
"Alles gut, so wie beschrieben.",de,positive,lawn_and_garden
小ぶりで単行本一冊と財布、スマホを入れ通勤するのにちょうど良いくらいと思います。,ja,positive,shoes
"The broom is lightweight and the ""teeth"" in the dustpan work well. HOWEVER the broom comes unassembled without instructions in English. Assembly wasn't very difficult but not intuitive either. The broom broke during assembly and the dustpan will not stay assembled. I used it for 5 minutes and then put it in the trash. Not worth the money at all.",en,negative,home
Small is too small to carry anything but set of keys OR single snack bar.,en,negative,other
検品をしっかりしてください。壁紙が破れていて返品の手続きをしました。作業を中断されて迷惑です。柄はよかったのですが。,ja,negative,home_improvement
应该说，看了这本书，忽然很感激我的父母做得还是不错，没有犯里面提到的很多严重错误，没有让我长得更歪,zh,positive,digital_ebook_purchase
Diffuseur correcte et simple . Juste dommage qu'il ny ait que deux options de diffusion : la diffusion continue et la diffusion toutes les 15 secondes . Donc pas terrible si on veut le mettre en marche lorsqu'on va dormir . J aurais préféré une machine avec un programme qui diffuse toutes les 20 min où qui s'arrête tout seul à un certain temps . Mais le produit est très correct . Bon rapport qualité prix et l'esthétique est bien au rendez vous,fr,positive,personal_care_appliances
看了之前的评价有点担心会不会有折痕什么的，不过收到就放心了，原版书纸张质量很好，闻了闻也没什么异味,zh,positive,book
ギター1本と歌声だけが武器のコンサートで、しかも当日お客さんにリクエストを聞いて歌うコーナーがあるので心地よい緊張感の中、行われたコンサートです。,ja,positive,other
"I love this bag but I purchased it in April, now its Sept and I have a seam ripping, Bag is durable but the bottom is where all the weight its.",en,negative,sports
"Sturdy. Kinda expensive, but looks good.",en,positive,home
スッゴい捕れました。これは良い製品です。 庭に洗濯物を干す時、常に蜂が数匹は居て邪魔だったのですが、 これを庭木に設置したら邪魔されることがなくなりました。,ja,positive,home_improvement
Perfecto para el embarazo. Mi mujer lo ha usado bastante.,es,positive,apparel
和国外买的有区别，包装，标准，好像还是库存货,zh,positive,drugstore
iPhone6で少し使ってみましたが全く問題なく使用できました 耐久性についてはまだわかりません,ja,positive,pc
Gut verarbeitet und sogar etwas geladen als es ankam.,de,positive,home_improvement
んー、ちょっと手を加えないと、色々問題は残りますね。 きちんと調整掛ければ、２０年目のファミリアには装着可能です。 ヘッドライト球切れした際、カー用品店やスタンドで、交換して貰う人には向かない代物かも。,ja,positive,automotive
Ya no me carga no me a durado ni un año,es,negative,home
"Ich habe mich riesig auf die Lovestory zwischen Gray und Eden gefreut und wurde von Katie Weber mal wieder nicht enttäuscht. Der bekannte und geliebte Schreibstil der Autorin zog mich sofort in seinen Bann und ich konnte mein kindle nicht aus der hand legen. Deswegen kriegt dieses Meisterwerk 5 Sterne. Mach weiter so, liebe Katie. Ich bewundere deine arbeit und liebe deine Bücher 😍",de,positive,digital_ebook_purchase
去年9月底买的，10月份到手，今年8月份手表就一片空白了，没电子了？？？,zh,negative,watch
冬天买的，用了两次，用后皮肤干的不行，又买的其他东西擦的，等以后夏天时再用用试试如何吧,zh,negative,beauty
"Tiene buena calidad, es robusta y el tapón cierra perfectamente.",es,positive,automotive
１０日間の北海道旅行に持っていきます。事前に使い方を確認しましたが簡単にデータ移行ができて、パソコンへの取り込みもスムーズに出来ました。これで遠慮なく北海道の景色を写真や動画に収められます。,ja,positive,automotive
Bueno si me gustó pero no me convence como me queda pero esta bien,es,negative,apparel
"Je ne voulais pas d'une réplique d'Iphone et pas non plus un jouet avec des grosses touches qui s'allument dans tout les sens! Ce téléphone est donc parfait! il est ""tactile"" pour faire comme papa et maman mais reste un jouet! il est solide, ludique et amuse beaucoup mon fils",fr,positive,toy
"Ich habe den stift für mein Tablet gekauft, damit ich in der Uni mitschreiben kann( wie mit Stift und Papier). Leider war er dazu nicht zu gebrauchen .. man muss richtig stark aufdrücken, damit der Stift überhaupt vom Tablet erkannt wird, sodass ich Angst hatte den Bildschirm kaputt zu machen. Deshalb ich den stift gleich wieder zurückgeschickt",de,negative,wireless
手軽に棚を増設できるので、ありがたいです。,ja,positive,home
本来是想拜读一下村上春树的作品，结果收到之后没有包装，连塑料包装都没有，还好我一次买了很多书，你们用纸箱装起来，要是单买的话说不定还会破损呢，我买书读完之后就会收藏起来，如果坏掉了对我来说是非常可惜的事情，希望卖家可以考虑一下我们读者的心情。其次，纸本书的纸张质量有点差。另外想提个小建议，可不可以每本书里都赠送书签啊，像《摆渡人》里面就有书签，这样看起书来很方便,zh,negative,book
La qualité est bonne et s'adapte parfaitement.,fr,positive,toy
这个作者没怎么见过，但是文字不错，很多场景描写很震撼，写二战时候的各个阶层，尤其对上流社会的描述很出彩，“雅西城的老鼠”一章描述在炮火中看到雅西城逃亡的贵族像天上神仙出行，很魔幻。,zh,positive,book
"Love all the Thermos brand tumblers, but this retro design is my favorite",en,positive,kitchen
直ぐに届いて遊べたのですが、正面の黒い部分がよく外れます。バネが強いからなのか一度壊れたら直ぐに取り替えていただけました。でも次も取れるのでこういう商品なんだと思います。,ja,negative,toy
"He comprado un total de 4 y con todas me ha pasado lo mismo, al medio año de uso se estropean, con la luz apagada no para de hacer destellos cada dos segundos, muy molesto, no repetiría. La Luz que da es muy escasa",es,negative,home
"Leider verliert der Adapter den Kontakt am USB-C Stecker zum Handy, wenn zu viel Druck, auf der linken oder rechten Seite beim Klinker oder USB-C Ausgang, ausgeübt wird.",de,negative,electronics
La tablet está bien aunque se queda sin batería muy pronto,es,positive,pc
"De buena calidad, el plástico de los platos es consistente. Se compro para regalo y la verdad q es entretenido para niños y adultos, no muy pequeños. Hay q tener cuidado q ls platos vuelan!",es,positive,sports
I really like the shirt however the print is crooked.,en,negative,apparel
孫は働く車が大好きで夢中で遊んでいます、丈夫な作りで安心です。,ja,positive,toy
"Leider ist mir das Produkt sehr unangenehm aufgefallen. Leider ist eine Ecke schon abgenutzt und die Hülle richt leider stark unangenehm, wenn ich das Handy rausnehme. Nicht zu empfehlen. Noch nicht einmal seit einem Monat in Benutzung",de,negative,wireless
Al recibirlo parece que está bien pero lo regale así que no puedo dar mucha más info,es,positive,wireless
無事とどきました！ 嫁様に購入 可愛らしい模様で とてもオシャレで 洋服に合わせやすいと喜んでくれました！ とても素晴らしい商品です,ja,positive,digital_ebook_purchase
"Die Steinchen wurden sehr schnell geliefert. Die Verarbeitung ist top. Ich habe damit ein Leinwand beklebt. Erst war ich verwundert, da die Steinchen in einer Reihe zusammenhängend waren. Man hätte sie mit der Schere trennen können aber im Nachhinein war ich mit den ganzen Reihen viel schneller beim Aufkleben als wenn ich alle einzeln aufgeklebt hätte.",de,positive,wireless
真是无语，特地到亚马逊上买了本盗版的书，地摊上15块一本,zh,negative,book
かって、入院中に使っていたので購入。施設院内用としてならこんなものでしょうか？,ja,positive,drugstore
明るさは良いです ライトはディスチャージですが 同じ色では無いため変えたいぐらいかな チョッと暗いかもしれません,ja,positive,automotive
Pc läuft wieder optimal,de,positive,pc
"Es ist einfacher Staub zu saugen ,denn mein Rücken ist nicht ganz gesund",de,positive,kitchen
Didn't make it past 100 rounds before it stopped working. Kept turning off and on every time I would fire. I'm sure it was just poor internal electronics. Thankful for a good return policy though.,en,negative,sports
翻译不错，情节发展曲折，细节描写很到位，故事很吸引人。,zh,positive,book
My daugther finally received the GoPro Hero5 and she tried it on her first time wake boarding in Bali. The videos are great but maybe it was the clamp on the chest harness where she could not raise the GoPro to the right degree to catch our whitewater rafting day. Great videos though otherwise.,en,positive,camera
为什么键盘只用了一次就打不开了呢，明明电池是有电的。可就是没反应，不知道怎么回事，求解答,zh,negative,electronics
There is no way these things are insulated. We were in 20 degree weather and had to cut the day short because these boots were so uncomfortable.,en,negative,shoes
overall not happy with the result i've had the backpack for about 3 months and its falling apart on the inside,en,negative,other
Juego Indie. Por menos de 8€ había que pillarlo para la colección.,es,positive,video_games
サラッとした薄い生地でマイクロファイバーと言われるとイメージが違う気がします。,ja,negative,home
"Se entrega a un vecino sin mi consentimiento, cuando lo recojo la caja venia sin caja de Amazon y encima parecía manipulada,menos mal que el juguete en sí venía bien.",es,negative,toy
给孩子买的，刷牙时间可以保证，应该比自己用牙刷刷的干净。,zh,positive,baby_product
Buena calidad para el precio,es,positive,sports
kit nickel pour que ce soit parfait proposer un vernis de couleur pour la finition serait top,fr,positive,sports
ペンティアムG3258がASUSのマザー85Gに乗らず（たぶんBIOSが古かった、何度も返品したので昔から使ってるASROCKのこれを購入しました。 ど安定でメインでガンガン動いています。いい買い物でした。,ja,positive,pc
lampe conforme à la description et adéquate pour notre usage.,fr,positive,home
这本书讨论量子磁性很全面。但有一点，书里面是把关键性的正文用习题解答的形式给出来的。所以读起来不是很连贯。当然，如果你有时间每步都亲自计算的话这种写法应该是更好,zh,positive,book
LEDの照明が付いている事にひかれ購入 今まで使っていた５倍拡大とはぜんぜん見え方が違います。 正直、毛穴のつまりなど見え過ぎて凹みますが お肌のケアに励めます。 彼も気に入ったようで、ヒゲや鼻毛のお手入れに使っています。 もう一台購入するかと考えています。,ja,positive,beauty
商品包装就是一密封袋，最不能忍的是竟然掉毛…这样怎么给三岁以下的孩子玩儿,zh,negative,toy
